input_idx,layer_name,layer_type,op_type,M,K,P,input_sparsity,output_sparsity,weight_sparsity,input_shape,output_shape
0,conv1,Conv2d,MM,12544,147,64,0.0,0.0,0.8095238095238095,"(1, 3, 224, 224)","(1, 64, 112, 112)"
0,layer1.0.conv1,Conv2d,MM,3136,64,64,0.0030143893494897957,0.0,0.142822265625,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.0.conv2,Conv2d,MM,3136,576,64,0.41482481664540816,0.0,0.4227159288194444,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.0.conv3,Conv2d,MM,3136,64,256,0.5566356425382653,0.0,0.28851318359375,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.0.downsample.0,Conv2d,MM,3136,64,256,0.0030143893494897957,0.0,0.2965087890625,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.1.conv1,Conv2d,MM,3136,256,64,0.4485336615114796,0.0,0.143310546875,"(1, 256, 56, 56)","(1, 64, 56, 56)"
0,layer1.1.conv2,Conv2d,MM,3136,576,64,0.49540617028061223,0.0,0.424560546875,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.1.conv3,Conv2d,MM,3136,64,256,0.5097855548469388,0.0,0.2835693359375,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer1.2.conv1,Conv2d,MM,3136,256,64,0.36777293925382654,0.0,0.151123046875,"(1, 256, 56, 56)","(1, 64, 56, 56)"
0,layer1.2.conv2,Conv2d,MM,3136,576,64,0.46865533322704084,0.0,0.4248046875,"(1, 64, 56, 56)","(1, 64, 56, 56)"
0,layer1.2.conv3,Conv2d,MM,3136,64,256,0.4322036431760204,0.0,0.2894287109375,"(1, 64, 56, 56)","(1, 256, 56, 56)"
0,layer2.0.conv1,Conv2d,MM,3136,256,128,0.3784229512117347,0.0,0.204071044921875,"(1, 256, 56, 56)","(1, 128, 56, 56)"
0,layer2.0.conv2,Conv2d,MM,784,1152,128,0.5438606106505102,0.0,0.5701700846354166,"(1, 128, 56, 56)","(1, 128, 28, 28)"
